0.1,0.981
0.2,1.9616
0.3,2.9409
0.4,3.9182
0.5,4.8927
0.6,5.8634
0.7,6.8297
0.8,7.7907
0.9,8.7457
1,9.6939
1.1,10.6346
1.2,11.5672
1.3,12.4909
1.4,13.405
1.5,14.309
1.6,15.2023
1.7,16.0843
1.8,16.9544
1.9,17.8123
2,18.6573
2.1,19.4892
2.2,20.3075
2.3,21.1118
2.4,21.9018
2.5,22.6773
2.6,23.4379
2.7,24.1836
2.8,24.914
2.9,25.6291
3,26.3286
3.1,27.0126
3.2,27.681
3.3,28.3337
3.4,28.9707
3.5,29.5921
3.6,30.198
3.7,30.7882
3.8,31.3631
3.9,31.9227
4,32.467
4.1,32.9964
4.2,33.5109
4.3,34.0108
4.4,34.4962
4.5,34.9673
4.6,35.4245
4.7,35.8678
4.8,36.2976
4.9,36.7141
5,37.1176
5.1,37.5083
5.2,37.8865
5.3,38.2525
5.4,38.6066
5.5,38.949
5.6,39.28
5.7,39.6
5.8,39.9091
5.9,40.2077
6,40.496
6.1,40.7744
6.2,41.0431
6.3,41.3023
6.4,41.5524
6.5,41.7937
6.6,42.0263
6.7,42.2506
6.8,42.4667
6.9,42.675
7,42.8758
7.1,43.0691
7.2,43.2554
7.3,43.4347
7.4,43.6074
7.5,43.7737
7.6,43.9337
7.7,44.0877
7.8,44.2359
7.9,44.3785
8,44.5157
8.1,44.6477
8.2,44.7746
8.3,44.8967
8.4,45.014
8.5,45.1269
8.6,45.2354
8.7,45.3396
8.8,45.4399
8.9,45.5362
9,45.6288
9.1,45.7178
9.2,45.8033
9.3,45.8854
9.4,45.9643
9.5,46.0401
9.6,46.1129
9.7,46.1829
9.8,46.25
9.9,46.3146
10,46.3765
10.1,46.436
10.2,46.4931
10.3,46.548
10.4,46.6007
10.5,46.6512
10.6,46.6998
10.7,46.7464
10.8,46.7911
10.9,46.8341
11,46.8753
11.1,46.9149
11.2,46.9528
11.3,46.9893
11.4,47.0243
11.5,47.0578
11.6,47.0901
11.7,47.121
11.8,47.1507
11.9,47.1791
12,47.2064
12.1,47.2327
12.2,47.2578
12.3,47.282
12.4,47.3051
12.5,47.3273
12.6,47.3487
12.7,47.3691
12.8,47.3888
12.9,47.4076
13,47.4256
13.1,47.443
13.2,47.4596
13.3,47.4756
13.4,47.4909
13.5,47.5055
13.6,47.5196
13.7,47.5331
13.8,47.5461
13.9,47.5585
14,47.5704
14.1,47.5819
14.2,47.5928
14.3,47.6034
14.4,47.6135
14.5,47.6232
14.6,47.6324
14.7,47.6413
14.8,47.6499
14.9,47.6581
15,47.666
15.1,47.6735
15.2,47.6807
15.3,47.6877
15.4,47.6943
15.5,47.7007
15.6,47.7068
15.7,47.7127
15.8,47.7183
15.9,47.7237
